,fun,serious,source
1116,brett favre avenges storied 16-year career with packers,brett favre celebrates storied 16-year career with packers,unfunme
1117,brett favre avenges storied 16-year career with packers,brett favre avenges 16-year storied career with packers,unfunme
1118,95-year-old yankees fan afraid he'll never get to see team win 27 more world series,95-year-old yankees fan living for pendants,unfunme
1119,december named national awareness month,december named national slippery road awareness month,unfunme
1120,miracle powder turns water into delicious fruity drink,sweet powder turns water into delicious fruity drink,unfunme
1121,miracle powder turns water into delicious fruity drink,gatorade powder turns water into delicious fruity drink,unfunme
1122,miracle powder turns water into delicious fruity drink,fruity drink derived from miracle power,unfunme
1123,nation's poor bastards never even saw it coming,nation's poor  never saw recession coming,unfunme
1124,nation's poor bastards never even saw it coming,nation's poor never even saw it coming,unfunme
1125,uninformed buffoon barely comprehends conversation about taylor swift,italian footballer buffon startled and inexpressive about pop world,unfunme
1126,uninformed buffoon barely comprehends conversation about taylor swift,older americans barely comprehend conversation about middle east,unfunme
1127,holiday music aficionado urges friends to check out 'frosty the snowman',holiday music aficionado urges friends to check out dean martin,unfunme
1128,holiday music aficionado urges friends to check out 'frosty the snowman',holiday music aficionado urges friends to check out 'a holly jolly christmas',unfunme
1129,new harlem globetrotter rudy 'rude dude' williams not working out,new harlem globetrotter rudy 'rude dude' williams behind in training schedule,unfunme
1130,nfl to fine players for getting concussions,nfl to insure players for getting concussions,unfunme
1131,ambitious cat lady demands 110 percent from her cats,ambitious mom demands 100 percent from her kids,unfunme
1132,6-year-old cries when told mtm productions kitten dead by now,6-year-old strokes when told her kitten dead,unfunme
1133,rhode island votes to move 2008 primary to tomorrow,rhode island votes to move 2008 primary earlier,unfunme
1134,rhode island votes to move 2008 primary to tomorrow,new,unfunme
1135,rhode island votes to move 2008 primary to tomorrow,rhode island votes to move 2008 primary,unfunme
1136,audience calls candidates back on stage for debate encore,audience calls candidates on stage for debate,unfunme
1137,evel knievel's rocket-coffin launched over 17 school buses into grave,7,unfunme
1138,hundreds of republicans hurt in rush to discredit kerry,hundreds of republicans approve bill to discredit kerry,unfunme
1139,dot declares pothole too perfect to fill,dot declares pothole too large to fill,unfunme
1140,dot declares pothole too perfect to fill,dot declares potholes are dangerous,unfunme
1141,dot declares pothole too perfect to fill,"in today's dot, form wins over function",unfunme
1142,area man thinks he can save relationship with pancakes,area man thinks he can save relationship with the environment,unfunme
1143,area man thinks he can save relationship with pancakes,area man thinks he can save relationship with conversation,unfunme
1144,swanson foods launches hungry man line of apparel,hungry clothing has arrived,unfunme
1145,swanson foods launches hungry man line of apparel,swanson outfitters launches working man line of apparel,unfunme
1146,swanson foods launches hungry man line of apparel,swanson foods launches hungry man line of frozen food,unfunme
1147,swanson foods launches hungry man line of apparel,swanson foods launches line of apparel,unfunme
1148,clemens files defamation lawsuit against steroids,clemens files defamation lawsuit,unfunme
1149,department of treasure releases 2008 doubloons,treasury department releases another million $2 bills,unfunme
1150,ambulance told to shut up,ambulance told to hurry up,unfunme
1151,ambulance told to shut up,quarterback told to shut up,unfunme
1152,greenpeace releases dolphins into forest,greenpeace releases pandas into forest,unfunme
1153,"vegas gives patriots 1,000-point spread over chargers","chargers gives patriots 1,000-point spread over vegas",unfunme
1154,"vegas gives patriots 1,000-point spread over chargers",patriots give patrons cheez whiz to spread over crackers,unfunme
1155,"vegas gives patriots 1,000-point spread over chargers",vegas gives patriots 20-point spread over chargers,unfunme
1156,"troy aikman defends disemboweling joe buck, huddling inside corpse for warmth","troy aikman defends disemboweling buck, huddling inside corpse for warmth",unfunme
1157,"troy aikman defends disemboweling joe buck, huddling inside corpse for warmth","troy aikman deny defending disemboweling joe buck, huddling inside corpse for warmth",unfunme
1158,mattress store experiments with non-blowout sale,mattress store experiments with online sale,unfunme
1159,mattress store experiments with non-blowout sale,king mattress store experiments with blowout sale,unfunme
1160,area senior remembers a simpler time when his anus didn't leak,senator jonathan senior reflects on the time before obamacare,unfunme
1161,lucille calls police on b.b. king,wife calls police on b.b. king,unfunme
1162,pep squad accused of using power of pep for personal gain,bomb squad accused of using power of pep for personal gain,unfunme
1163,pep squad accused of using power of pep for personal gain,pep squad accused of using power for personal gain,unfunme
1164,coworker brings vigilante justice to break room,he helps him to go to jail,unfunme
1165,jason kidd demands trade to peanutopolis,jason kidd demands trade to spurs,unfunme
1166,lebron james celebrates basket history month,julia loves zygi,unfunme
1167,next generation to take a pass on aerosmith,next generation to take a pass on email,unfunme
1168,next generation to take a pass on aerosmith,next generation believe in reality rather than 'dream on',unfunme
1169,cgi team creates realistic oscar for michael bay,cgi team creates realistic oscar for michael bay's upcoming movie,unfunme
1170,cgi team creates realistic oscar for michael bay,cgi team creates realistic double for michael bay,unfunme
1171,area dad will only watch things in hd,dad will only watch things in hd,unfunme
1172,area dad will only watch things in hd,people will not pay to watch things in hd,unfunme
1173,60% of federal budget wasted on eating out,60% of disposable budget wasted on eating out,unfunme
1174,60% of federal budget wasted on eating out,60% of federal budget wasted on running administration,unfunme
1175,yankees to play exhibition game against the media,yankees game agains media,unfunme
1176,yankees to play exhibition game against the media,yankees to play exhibition game against the lakers,unfunme
1177,pitchers secretly meet to rehearse skit making fun of catchers,nigga congregates with people to show the world his swag,unfunme
1178,pitchers secretly meet to rehearse skit making fun of catchers,pitchers secretly meet to rehearse press conference,unfunme
1179,man who should be president has asymmetrical eyebrows,potential president has asymmetrical eyebrows,unfunme
1180,"ad campaign appeals to young, hip, influenced-by-ad-campaigns demographic","ad campaign appeals to young, hip, rich suburbain as shown by demographic",unfunme
1181,whale expert measures everything in elephants,expert measures everything in elephant whales,unfunme
1182,whale expert measures everything in elephants,whale expert measures everything in imperial,unfunme
1183,whale expert measures everything in elephants,whale expert measures dna in elephants,unfunme
1184,supreme court rewards base with fan appreciation day,unbelievable: base rewarded on fan appreciation day,unfunme
1185,supreme court rewards base with fan appreciation day,supreme court rewards fans with fan appreciation day,unfunme
1186,supreme court rewards base with fan appreciation day,supreme court rewards base with ban appreciation day,unfunme
1187,evacuation plan includes foosball table,california fire evacuation plan includes medical triage,unfunme
1188,evacuation plan includes foosball table,evacuation plan includes operating table,unfunme
1189,heroin addiction picked up where area man left off,heroin addiction picked up where left off,unfunme
1190,heroin addiction picked up where area man left off,heroin addiction raised up,unfunme
1191,big game coming up,big game on saturday,unfunme
1192,man in suit slams fist on desk,man in suit slams fish on desk,unfunme
1193,man in suit slams fist on desk,man in suit slams coffee cup on desk,unfunme
1194,black guy asks nation for change,obama asks nation for change,unfunme
1195,naked woman picture gains popularity on internet,naked woman picture lost popularity on internet,unfunme
1196,naked woman picture gains popularity on internet,humorous picture gains popularity on internet,unfunme
1197,mysteriocrats nominate shadowy figure for president,dark chief,unfunme
1198,mysteriocrats nominate shadowy figure for president,africa nominate shadowy figure for president,unfunme
1199,yankees to build stadiums in every mlb city for away games,yankees to build stadiums in every city for mlb games,unfunme
1200,yankees to build stadiums in every mlb city for away games,yankees to build support in every mlb city for away games,unfunme
1201,jpmorgan chase acquires bear stearns in tedious-to-read news article,jpmorgan chase acquires bear stearns in tedious news article,unfunme
1202,jpmorgan chase acquires bear stearns in tedious-to-read news article,jpmorgan chase acquired bear stearns in tedious-to-read news article,unfunme
1203,jpmorgan chase acquires bear stearns in tedious-to-read news article,jpmorgan chase acquires bear skins in tedious deal,unfunme
1204,move to houseboat regretted by third day,move to usa regretted by third day,unfunme
1205,move to houseboat regretted by third day,move,unfunme
1206,royals told not to get uniforms dirty,royals told to get uniforms dirty; play harder.,unfunme
1207,royals told not to get uniforms dirty,royals told not to get uniforms,unfunme
1208,hillary receives 3 a.m. phone call from drunken bill clinton,hillary receives 3 a.m. phone call from u.n.,unfunme
1209,area man makes it through day,windowsxpprofessionalsp3finalretail2014.iso,unfunme
1210,olympic torch used to ignite tibetan protesters,sacred torch used to ignite tibetan protesters,unfunme
1211,olympic torch used to ignite tibetan protesters,olympic torch used to ignite tibetan pride,unfunme
1212,"jason giambi day-to-day with sore groin, if you know what he means","jason giambi day-to-day with sore neck, if you know what he means",unfunme
1213,"jason giambi day-to-day with sore groin, if you know what he means","day-to-day with jason giambi, his sore groin, and what it means if for you know who",unfunme
1214,"if there's a ferret heaven, area woman's dead ferret is in it",area woman's dead ferret in possible ferret heaven,unfunme
1215,"if there's a ferret heaven, area woman's dead ferret is in it",area woman believes her dead ferret rests in a ferret heaven,unfunme
1216,yankees bury bernie williams under new stadium for good luck,yankees burn bernie williams in new stadium for good luck,unfunme
1217,yankees bury bernie williams under new stadium for good luck,"bernie williams remembered by yankees, will bring good luck to new stadium",unfunme
1218,yankees bury bernie williams under new stadium for good luck,yankees bury bernie williams bat under new stadium for good luck,unfunme
1219,yankees bury bernie williams under new stadium for good luck,burnie williams buried under yankee stadium in a final memorial,unfunme
1220,financial analysts offer to talk about recession for $5,financial analysts offer to talk about recession for $500,unfunme
1221,researchers discover massive asshole in blogosphere,researchers discover massive hole in atmossphere,unfunme
1222,researchers discover massive asshole in blogosphere,researchers discover massive hole in stratosphere,unfunme
1223,rowdy teens take over local perkins,teens take over local perkins,unfunme
1224,breakthrough heinz bottle shoots ketchup with laser-like precision,breakthrough heinz bottle shoots ketchup with more precision,unfunme
1225,report: olympics mathematically likely to happen this year,report: olympics mathematically likely to succeed this year,unfunme
1226,report: olympics mathematically likely to happen this year,report: earthquake statistically likely to happen this year,unfunme
1227,nevada boxing commission denies involvement in fighting ring,nevada boxing commission denies involvement in dogfighting ring,unfunme
1228,"liberty city police face allegations of incompetence, brutality",what the fuck,unfunme
1229,defective ouija board reviews local thai restaurants,defective chess board reviews local thai restaurants,unfunme
1230,defective ouija board reviews local thai restaurants,defective culinary board reviews local thai restaurants,unfunme
1231,new prescription-only sandwich extra-delicious,new prescription-only pill extra-effective,unfunme
1232,new prescription-only sandwich extra-delicious,new lifestyle-only sandwich extra-delicious,unfunme
1233,latest cheney tape may contain evidence of his whereabouts,latest cheney tape may contain evidence of his dealings,unfunme
1234,latest cheney tape may contain evidence of his whereabouts,latest cheney tape may contain evidence of his scandal,unfunme
1235,latest cheney tape may contain evidence of his whereabouts,latest cheney sex tape may contain evidence of his whereabouts,unfunme
1236,area grandmother tries indian food,area resident tries indian food,unfunme
1237,tv viewers outraged at timing of commercial break,tv viewers outraged at innapropriate timing of commercial break,unfunme
1238,national essay writing contest now accepting video submissions,national essay writing face-off now accepting blood-written submissions,unfunme
1239,new beer brand claims to be colder than other beer brands,new beer brand claims to be cooler than other beer brands,unfunme
1240,chris osgood gets to third base with stanley cup,chris osgood gets to win stanley cup,unfunme
1241,bulls gm to team: 'this is new head coach vinnie del negro; he'll be staying with us for a while',new head coach vinnie del negro to stay with the bulls team says gm,unfunme
1242,mariners fire whiffing coach,mariners fire whiffing dogs,unfunme
1243,mariners fire whiffing coach,mariners fire field coach,unfunme
1244,flaming-streets plan passes in tennessee,sanitary streets plan passes in tennessee,unfunme
1245,area homosexual saves four from fire,student saves four from fire,unfunme
1246,area homosexual saves four from fire,new york,unfunme
1247,area homosexual saves four from fire,bay area homosexual saves four from fire,unfunme
1248,gay couple feels pressured to marry,teenage couple feels pressured to marry,unfunme
1249,gay couple feels pressured to marry,gay couple feels pressured to leave,unfunme
1250,church group offers homosexual new life in closet,gary coleman offers homosexuals oral sex in closet,unfunme
1251,church group offers homosexual new life in closet,church group offers man new life in closet,unfunme
1252,church group offers homosexual new life in closet,church group offers homosexual new life in hell,unfunme
1253,church group offers homosexual new life in closet,"church group offers homosexual ""new life"" in alberquerqe",unfunme
1254,"small, dedicated group of concerned citizens fails to change world","small, dedicated group of concerned citizens bands together to change the world",unfunme
1255,"small, dedicated group of concerned citizens fails to change world","large, dedicated group of concerned citizens succeeds in changing world",unfunme
1256,bush vows to remove toxic petroleum from national parks,bush vows to remove petroleum from national parks,unfunme
1257,bush vows to remove toxic petroleum from national parks,bush vows to remove toxic petroleum from gulf of mexico,unfunme
1258,bush vows to remove toxic petroleum from national parks,bush vows to remove toxic chemicals from national parks,unfunme
1259,"new, delicious species discovered",new species discovered,unfunme
1260,new eco-friendly packaging triggers boom in guilt-free littering,new eco-friendly packaging triggers success in guilt-free littering,unfunme
1261,new eco-friendly packaging triggers boom in guilt-free littering,new eco-friendly packaging triggers boom in composting,unfunme
1262,bush acknowledges existence of carbon dioxide,acceptance of rising co2 levels force conservatives to concede little,unfunme
1263,bush acknowledges existence of carbon dioxide,bush acknowledges effects of carbon dioxide,unfunme
1264,epa warns human beings no longer biodegradable,epa warns human beings not biodegradable,unfunme
1265,epa warns human beings no longer biodegradable,epa warns human beings no longer sustainable,unfunme
1266,conservation group condemns waterboarding as wasteful,conservation group condemns showering as wasteful,unfunme
1267,5-year-old wants to be a tractor when she grows up,5-year-old wants to be a doctor when she grows up,unfunme
1268,time' publishes definitive obama puff piece,national enquirer promotes michelle obama sex tape,unfunme
1269,queen elizabeth ii announces she's pregnant again,queen elizabeth ii announces she's grandmother again,unfunme
1270,queen elizabeth ii announces she's pregnant again,queen elizabeth ii announces she's abdicating soon,unfunme
1271,134-year-old man attributes longevity to typographical error,134-year-old man attributes longevity to red wine,unfunme
1272,134-year-old man attributes longevity to typographical error,134-year-old man attributes longevity to neurological error,unfunme
1273,report: greg maddux can guess any pitcher's whip just by looking at them,palooza!,unfunme
1274,report: greg maddux can guess any pitcher's whip just by looking at them,greg maddux can guess any pitcher's pictch just by looking at them,unfunme
1275,local idiot to post comment on internet,millions read this uninformed opinion and believe it,unfunme
1276,local idiot to post comment on internet,calid comments on internet,unfunme
1277,local idiot to post comment on internet,local idiot to post penis on internet,unfunme
1278,new eco-friendly hummer engineered to kill its drivers,new eco-friendly hummer engineered to protect environment,unfunme
1279,new eco-friendly hummer engineered to kill its drivers,new eco-friendlier hummer engineered to attract new customers,unfunme
1280,affair to threaten whatever it is john edwards does for a living,reality to threaten whatever it is john edwards does for a living,unfunme
1281,affair to threaten whatever it is john edwards does for a living,affair to threaten what john edwards does for a living,unfunme
1282,stalker spaces on why he's in sandra oh's garage,stalker unclear on why he's in sandra oh's will,unfunme
1283,portuguese explorer discovers new passage to china,portuguese retailer discovers new passage to china,unfunme
1284,portuguese explorer discovers new passage to china,portuguese explorer discovers new route to china,unfunme
1285,cop vows to hunt down punk who successfully pressed brutality charges against his partner,cop vows to apologize to  punk who pressed brutality charges against his partner,unfunme
1286,cop vows to hunt down punk who successfully pressed brutality charges against his partner,florida cop vows to hunt down punk who successfully pressed brutality charges against his partner,unfunme
1287,michael phelps returns to his tank at sea world,michael phelps returns to smoking weed at sea world,unfunme
1288,brett favre on learning jets' intricate offensive system: 'i like football',brett favre on learning jets' intricate offensive strategy: 'i like football',unfunme
1289,obama modifies 'yes we can' message to exclude area loser,obama modifies 'yes we can' message to exclude area,unfunme
1290,obama modifies 'yes we can' message to exclude area loser,"obama to exclude area loser from his campaign winning slogan ""yes we can""",unfunme
1291,pedophile nervous for first day of school,pedophile nervous for first day of prison,unfunme
1292,pedophile nervous for first day of school,pedophile teachers nervous for last day of school,unfunme
1293,fbi launches nationwide manhunt for new office manager,fbi launches nationwide manhunt for new mafia manager,unfunme
1294,fbi launches nationwide manhunt for new office manager,fbi launches nationwide manhunt for new leader,unfunme
1295,fbi launches nationwide manhunt for new office manager,fbi launches nationwide manhunt for missing office manager,unfunme
1296,report: turkey sandwiches an excellent source of turkey sandwiches,report: turkey sandwiches an excellent source of protein,unfunme
1297,report: turkey sandwiches an excellent source of turkey sandwiches,turkey sandiwishes dicovered to be a primary alimentary source by scientists,unfunme
1298,mccain unveils plan for national soup pipeline,mccain unveils plan for national oil pipeline,unfunme
1299,challenging new iraq war video game will take 14 years to play,challenging new iraq war video game will take 14 hours to play,unfunme
1300,challenging new iraq war video game will take 14 years to play,new iraq war will take 14 years to play out,unfunme
1301,area man always picked last for employment,man always picked last area for employment,unfunme
1302,gay war hero awarded posthumous dishonorable discharge at white house ceremony,gay war hero awarded posthumous dishonorable discharge,unfunme
1303,gay war hero awarded posthumous dishonorable discharge at white house ceremony,gay hero dishonourably discharged at white house,unfunme
1304,gay war hero awarded posthumous dishonorable discharge at white house ceremony,posthumous white house ceremony awarded gay war hero,unfunme
1305,miracle dog gives birth to septuplets,miracle mom gives birth to septuplets,unfunme
1306,brendan's brother reports 'brendan is so dead',brendan's brother reports death,unfunme
1307,new denim jacket bolsters consumer self-confidence,new energy drink bolsters consumer self-confidence,unfunme
1308,new denim jacket bolsters consumer self-confidence,new pill bolsters self-confidence,unfunme
1309,plastic surgeon shows off collection of famous nose cartilage,plastic surgeon shows off collection of nose cartilage reconstruction instruments,unfunme
1310,bakery closing nets man ton of free eclairs,bakery closing nets man free eclairs,unfunme
1311,bakery closing nets man ton of free eclairs,bakery closing offers free eclairs,unfunme
1312,alpha yam resists being candied,alpha chimp resists being transported,unfunme
1313,chimp study on human response to feces-hurling nears completion,chimp study on human response to feces-hurling,unfunme
1314,chimp study on human response to feces-hurling nears completion,doctors found a virus that can teleport humans to a randome universe,unfunme
1315,some guy wearing packers uniform throws for 328 yards,fan wearing packers uniform throws for 328 yards,unfunme
1316,some guy wearing packers uniform throws for 328 yards,player wearing packers uniform throws for 328 yards,unfunme
1317,city places orange traffic cones around space-time portal,city places orange traffic cones around dangerous pothole,unfunme
1318,city places orange traffic cones around space-time portal,city places orange traffic cones around sinkhole,unfunme
1319,mccain puts father-son junkyard business into blind trust,mccain puts father-son finance business into blind trust,unfunme
1320,richard branson purchases remainder of north pole,denmark purchases remainder of north pole,unfunme
1321,richard branson purchases remainder of north pole,richard branson purchases majority of north pole sports brand,unfunme
1322,mets to play brewers in one-game choke-off,mets to play bronkers in one-game knock-off,unfunme
1323,mets to play brewers in one-game choke-off,mets to play brewers in one-game wildcard matchup,unfunme
1324,fan steals derek jeter from yankee stadium,fan steals derek jeter statue from yankee stadium,unfunme
1325,everything midas ceo touches turns to mufflers,ceo is abfhäaeüfgoh,unfunme
1326,lobbyist gets candy on food pyramid,egyptian mummies stripped by lobbies in lieu of candies,unfunme
1327,lobbyist gets candy on food pyramid,lobbyist gets accolates on food pyramid,unfunme
1328,infomercial makes leap to big screen,spongebob makes leap to big screen,unfunme
1329,infomercial makes leap to big screen,infomercials make leap to big data,unfunme
1330,historical archives: the surgeon general has added snuff to tobacco pyramid,historical archives: the surgeon general has added aspirin to tobacco,unfunme
1331,historical archives: the surgeon general has added snuff to tobacco pyramid,the surgeon general has added snuff to tobacco pyramid,unfunme
1332,historical archives: local black-smith is disappointed by son's wishes to be-come a wheel-wright,local archives: black-smith is disppointed by son's whishes to leave the family trade,unfunme
1333,"historical archives: ""urban sprawling"" so severe, settlement's cooking-fires can be seen from as far as greenwich village","historical archives: ""urban sprawling"" so severe, settlement's lighting can be seen from as far as greenwich village",unfunme
1334,"historical archives: ""urban sprawling"" so severe, settlement's cooking-fires can be seen from as far as greenwich village","historical archives: ""urban sprawling"" so severe, native settlement's cooking-fires can be seen from manhattan",unfunme
1335,colombian bio-engineers create gun-and-drugs tree,colombian bio-engineers glowing tree,unfunme
1336,colombian bio-engineers create gun-and-drugs tree,colombian bio-engineers create everlasting tree,unfunme
1337,man's alcoholism getting a little out of hand,man's alcoholism gets completely out of hand,unfunme
1338,depressed carpet cleaner turns vacuum on himself,sexually repressed carpet cleaner turns vacuum on himself,unfunme
1339,depressed carpet cleaner turns vacuum on himself,depressed carpet cleaner turns gun on himself,unfunme
1340,researcher secures funding to harass living shit out of puffer fish,researcher secures funding to harass puffer fishes,unfunme
1341,researcher secures funding to harass living shit out of puffer fish,researcher secures funding to harass bacteria living outside of puffer fish,unfunme
1342,goodyear unveils new circular tires,goodyear unveils new flatfree tires,unfunme
1343,lucky dead student gets own page in yearbook,dead student gets own page in yearbook,unfunme
1344,rich first-grader buys whole sheet of gold stars,rich first-grader buys whole bag of gold jewelry,unfunme
1345,rich first-grader buys whole sheet of gold stars,"buying your way to sucess starts early, first grade early.",unfunme
1346,rich first-grader buys whole sheet of gold stars,rich first-grader buys whole sheets of gold,unfunme
1347,48-hour internet outage plunges nation into productivity,"during internet outage, people work",unfunme
1348,news of isiah thomas overdose not as fulfilling as knicks fan would have hoped,fuck you and your free data collection,unfunme
1349,"republican party, average working joe bid one another adieu until 2012","republican party, says adieu to average working joe until 2012",unfunme
1350,"republican party, average working joe bid one another adieu until 2012",republican party: average worker must bid his career at least once in 2012,unfunme
1351,dead whale buried in aquarium's backyard,dead whale buried in backyard,unfunme
1352,kobe bryant scores 25 in holy shit we elected a black president,kobe bryant scores 25 in tight match,unfunme
1353,kobe bryant scores 25 in holy shit we elected a black president,"kobe bryant scores 25, congratulated by president",unfunme
1354,lee corso starting to feel weird at college parties,facebbok,unfunme
1355,lee corso starting to feel weird at college parties,meth starting to become popular at college parties,unfunme
1356,bush tumbles wildly down washington monument staircase,"bush, unshaved, take hairy tumble  down washington monument staircase",unfunme
1357,bush tumbles wildly down washington monument staircase,bush tumbles down washington monument staircase,unfunme
1358,catchphrase from 'the love guru' overheard,catchphrase from 'the love guru' announced,unfunme
1359,catchphrase from 'the love guru' overheard,advice from 'the love guru' overheard,unfunme
1360,pistons discover allen iverson does not like to be thrown from moving car,allen iverson does not like to discover pistons thrown from a moving car,unfunme
1361,pistons discover allen iverson does not like to be thrown from moving car,pistons discover allen iverson does like to be thrown from moving car,unfunme
1362,pistons discover allen iverson does not like to be thrown from moving car,pistons allow allen iverson to ride go karts before a game,unfunme
1363,thousands gather for stuffing of giant rockefeller center turkey,dam built in the nile river has been demolished by islamic people,unfunme
1364,thousands gather for stuffing of giant rockefeller center turkey,thousands gather for stuffing of rockefeller center turkey,unfunme
1365,bioengineers outsmarted by strain of intelligent wheat,bioengineers outsmarted by bunch of intelligent scientists,unfunme
1366,veteran who stormed beach at normandy still getting laid because of it,veteran who stormed beach at normandy getting honored because of it,unfunme
1367,cardinals find themselves in wouldn't-hurt-to-win-but-don't-really-have-to situation,cardinals find themselves in wouldn't-hurt-to-win-but-don't-have-to situation,unfunme
1368,cardinals find themselves in wouldn't-hurt-to-win-but-don't-really-have-to situation,cardinals find themselves in win-win situation,unfunme
1369,neighbors remember serial killer as serial killer,neighbors remember serial killer as normal person,unfunme
1370,neighbors remember serial killer as serial killer,neighbors remember serial killer as a storm,unfunme
1371,neighbors remember serial killer as serial killer,neighbors remember serial killer as unsuspicious,unfunme
1372,fbi discontinues witness-protection parade,fbi discontinues witness-protection program,unfunme
1373,vice president cheney burns down white house aviary,vice president cheney opens white house aviary,unfunme
1374,technical preschool teaches welding to kids,"technical, barely staffed preschool teaches welding to kids",unfunme
1375,that one kid in rec basketball league always wearing jeans during games,one kid in rec basketball league always swearing during games,unfunme
1376,that one kid in rec basketball league always wearing jeans during games,come prepared,unfunme
1377,t-shirt machine gun to change the face of promotional warfare,machine gun t-shirt to change the face of promotional warfare,unfunme
1378,t-shirt machine gun to change the face of promotional warfare,new machine gun to change the face of ground warfare,unfunme
1379,moving to new city to solve all of area man's problems,how to solve man's problems city,unfunme
1380,supreme court rules supreme court rules,supreme court affirms its greatness,unfunme
1381,supreme court rules supreme court rules,supreme court says the buck stops here,unfunme
1382,supreme court rules supreme court rules,supreme court overruled by itself,unfunme
1383,supreme court gets free box of shoes after mentioning nike in ruling,mexican court gets free box of shoes after mentioning nike in ruling,unfunme
1384,supreme court gets free box of shoes after mentioning nike in ruling,loyal customer gets free box of shoes after mentioning nike in tweet,unfunme
1385,faith-based tv-repair shop severely backed up,faith-based non-profit group severely backed up,unfunme
1386,manager achieves full mastery of pointless managerial jargon,manager achieves local sprinting record,unfunme
1387,manager achieves full mastery of pointless managerial jargon,manager achieves full mastery of managerial jargon,unfunme
1388,manager achieves full mastery of pointless managerial jargon,manager teaches full mastery of todays managerial jargon,unfunme
1389,manager achieves full mastery of pointless managerial jargon,chipotle ceo achieves full mastery of middle-income consumer,unfunme
1390,bush's eyelid accidentally nailed to wall,bush's finger accidentally nailed to wall,unfunme
1391,bush's eyelid accidentally nailed to wall,child's eyelid accidentally nailed to wall,unfunme
1392,saudi arabia extends equal rights to bearded ladies,wrong,unfunme
1393,saudi arabia extends equal rights to bearded ladies,saudi arabia denies equal rights to bearded ladies,unfunme
1394,saudi arabia extends equal rights to bearded ladies,saudi arabia extends equal rights to unmarried women,unfunme
1395,saudi arabia extends equal rights to bearded ladies,saudi arabia extends equal rights to married women,unfunme
1396,north korea releases new paintings of healthy kim jong il,north korea releases  kim jong il,unfunme
1397,north korea releases new paintings of healthy kim jong il,north korea releases new paintings of kim jong il,unfunme
1398,north korea releases new paintings of healthy kim jong il,north korea realising their dictators meant to be made fun of being obessed,unfunme
1399,north korea releases new paintings of healthy kim jong il,north korea releases new photographs of healthy kim jong il,unfunme
1400,science guy bill nye killed in massive vinegar/baking-soda explosion,science guy bill nye caused massive vinegar/baking-soda explosion,unfunme
1401,science guy bill nye killed in massive vinegar/baking-soda explosion,scientist bill nye killed in massive vinegar/baking-soda explosion,unfunme
1402,bush picks laser background for presidential portrait,bush picks background for presidential portrait,unfunme
1403,china hosts realistic-looking olympics,china hosts russia-inspired olympics,unfunme
1404,alabama super-illegalizes gay marriage,alabama endorses gay marriage for death row prisoners,unfunme
1405,overconfident big brown parties all night before belmont stakes,overconfident big brown sleeps all night before belmont stakes,unfunme
1406,amputee inspires others not to lose limbs,amputee inspires others not to lose temper,unfunme
1407,epic saga of employee's ineptitude passed down through generations of coworkers,ineptitude passed down through generations of coworkers,unfunme
1408,epic saga of employee's ineptitude passed down through generations of coworkers,epic saga of employee's ineptitude passed down through thousands of coworkers,unfunme
1409,evidence piling up mom slept with one of her college professors,fuck off,unfunme
1410,"this is a pointless trip,' obama says while shaking hands with netanyahu","this is a successful trip,' obama says while shaking hands with netanyahu",unfunme
1411,thrilling duke-albany game ends with last-second buzzer,thrilling duke-stanford game ends with last-second buzzer,unfunme
1412,aquarium unveils 'floating carcasses of the pacific' exhibit,aquarium unveils 'floating wonders of the pacific' exhibit,unfunme
1413,mississippi bans soft drinks smaller than 20 ounces,mississippi bans soft drinks larger than 20 ounces,unfunme
1414,president personally performs first obamacare euthanization,president personally attends first obamacare operation,unfunme
1415,president personally performs first obamacare euthanization,president personally performs first obamacare transaction,unfunme
1416,roger ebert hails human existence as 'a triumph',roger ebert hails human stain as 'a triumph',unfunme
1417,roger ebert hails human existence as 'a triumph',roger ebert hails adaptation as 'a triumph',unfunme
1418,thousands of eggs pushed out of nests after birds legalize abortion,thousands of shi'ites flee syria after imams legalize abortion,unfunme
1419,"syrians' lives are worthless,' obama tells daughters before kissing them goodnight","syrians' lives are worthless,' osama tells daughters before kissing them goodnight",unfunme
1420,"syrians' lives are worthless,' obama tells daughters before kissing them goodnight","syrians' lives are important,' obama tells daughters before kissing them goodnight",unfunme
1421,leading social media site harvardconnection now valued at $400 billion,leading social media site harvardconnection now valued at $40 billion,unfunme
1422,new jackie robinson movie probably has scene where people yell things and he’s upset and wants to fight back but doesn’t,new jackie robinson movie has violent scene,unfunme
1423,coworker with fluorescent bike vest treats office to futuristic light show on way to desk,coworker with fluorescent bike vest secure way to desk,unfunme
1424,coworker with fluorescent bike vest treats office to futuristic light show on way to desk,coworker with fluorescent bike vest demonstrates to office the futuristic light reflectors,unfunme
1425,wrestlemania 29 marred by inconsistent officiating,murder,unfunme
1426,30 for 30' documentary to explore historical significance of '30 for 30' documentaries,30 for 30' documentary to explore historical significance of 1730s.,unfunme
1427,movie characters happen to pass through pamplona on the one week bulls run,rihanna to pass through pamplona on the one week bulls run,unfunme
1428,movie characters happen to pass through pamplona on the one week bulls run,movie stars happen to pass through pamplona during the week bulls run,unfunme
1429,tv viewer relates to totally unbelievable character that could never exist in reality,tv viewers can't relate to totally unbelievable character that could never exist in reality,unfunme
1430,tv viewer relates to totally unbelievable character that could never exist in reality,tv viewers relate to believable character on tv,unfunme
